date,areaType,areaCode,areaName,metric,age,rate,value
"2021-03-06",nation,E92000001,England,femaleCases,"35_to_39",8844.4,168699
"2021-03-05",nation,E92000001,England,maleCases,"50_to_54",7351.6,135218
"2021-03-05",nation,E92000001,England,maleCases,"45_to_49",7708.1,131053
"2021-03-05",nation,E92000001,England,maleCases,"30_to_34",8037.5,155375
"2021-03-05",nation,E92000001,England,maleCases,"65_to_69",4260.6,57637
"2021-03-05",nation,E92000001,England,maleCases,"10_to_14",3744.2,67863
"2021-03-05",nation,E92000001,England,maleCases,"75_to_79",4244.5,38231
"2021-03-05",nation,E92000001,England,maleCases,"35_to_39",7541.4,143329
"2021-03-05",nation,E92000001,England,maleCases,"85_to_89",8108.6,28449
"2021-03-05",nation,E92000001,England,maleCases,"15_to_19",6260.5,107646
"2021-03-05",nation,E92000001,England,maleCases,"20_to_24",9287.9,147466
"2021-03-05",nation,E92000001,England,maleCases,"5_to_9",2456.3,44449
"2021-03-05",nation,E92000001,England,maleCases,"70_to_74",3569.2,47476
"2021-03-05",nation,E92000001,England,maleCases,"25_to_29",8678,155572
"2021-03-05",nation,E92000001,England,maleCases,"60_to_64",5958.8,91005
"2021-03-05",nation,E92000001,England,maleCases,"40_to_44",7120.6,131667
"2021-03-05",nation,E92000001,England,maleCases,"80_to_84",5455,34664
"2021-03-05",nation,E92000001,England,maleCases,"0_to_4",2382.9,40347
"2021-03-05",nation,E92000001,England,maleCases,"90+",12113.6,20137
"2021-03-05",nation,E92000001,England,maleCases,"55_to_59",6317,121725
"2021-03-05",nation,E92000001,England,femaleCases,"90+",13401.1,47043
"2021-03-05",nation,E92000001,England,femaleCases,"70_to_74",3085.1,44709
"2021-03-05",nation,E92000001,England,femaleCases,"40_to_44",8196.8,154471
"2021-03-05",nation,E92000001,England,femaleCases,"85_to_89",7949.3,42046
"2021-03-05",nation,E92000001,England,femaleCases,"65_to_69",3746.9,54103
"2021-03-05",nation,E92000001,England,femaleCases,"55_to_59",6925.8,137168
"2021-03-05",nation,E92000001,England,femaleCases,"30_to_34",9812.8,183332
"2021-03-05",nation,E92000001,England,femaleCases,"50_to_54",8430.8,158205
"2021-03-05",nation,E92000001,England,femaleCases,"45_to_49",8926.9,153016
"2021-03-05",nation,E92000001,England,femaleCases,"15_to_19",7927,129590
"2021-03-05",nation,E92000001,England,femaleCases,"35_to_39",8834.1,168502
"2021-03-05",nation,E92000001,England,femaleCases,"75_to_79",3720,38687
"2021-03-05",nation,E92000001,England,femaleCases,"60_to_64",5937,94078
"2021-03-05",nation,E92000001,England,femaleCases,"20_to_24",12130.1,182256
"2021-03-05",nation,E92000001,England,femaleCases,"5_to_9",2254.7,41961
"2021-03-05",nation,E92000001,England,femaleCases,"10_to_14",3937.3,67947
"2021-03-05",nation,E92000001,England,femaleCases,"80_to_84",5078.3,40853
"2021-03-05",nation,E92000001,England,femaleCases,"25_to_29",11086.3,187929
"2021-03-05",nation,E92000001,England,femaleCases,"0_to_4",2394.2,38461
"2021-03-04",nation,E92000001,England,maleCases,"70_to_74",3567.1,47448
"2021-03-04",nation,E92000001,England,maleCases,"40_to_44",7111.2,131494
"2021-03-04",nation,E92000001,England,maleCases,"65_to_69",4256.7,57584
"2021-03-04",nation,E92000001,England,maleCases,"25_to_29",8665.8,155353
"2021-03-04",nation,E92000001,England,maleCases,"30_to_34",8024.8,155129
"2021-03-04",nation,E92000001,England,maleCases,"90+",12103.4,20120
"2021-03-04",nation,E92000001,England,maleCases,"60_to_64",5952.2,90904
"2021-03-04",nation,E92000001,England,maleCases,"20_to_24",9276.4,147283
"2021-03-04",nation,E92000001,England,maleCases,"15_to_19",6250.7,107478
"2021-03-04",nation,E92000001,England,maleCases,"0_to_4",2377.8,40262
"2021-03-04",nation,E92000001,England,maleCases,"5_to_9",2451.5,44362
