RegionType,Region,Week started,N only,OR only,S only,OR+N,OR+S,N+S,OR+N+S,Mean,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
EnglandRegion,North East,2 November 2020,11,7,0,10,1,1,69,28.5,17.5,24.5,31.2,32.8,33.7
EnglandRegion,North East,9 November 2020,9,5,0,7,0,0,79,24.9,15.5,19.4,25.3,31.5,33.0
EnglandRegion,North East,16 November 2020,5,6,0,3,0,4,82,25.7,17.0,20.3,26.0,31.2,33.3
EnglandRegion,North East,23 November 2020,19,11,0,15,2,3,50,30.1,22.6,27.7,32.5,34.0,34.8
EnglandRegion,North East,30 November 2020,39,7,0,12,5,2,34,32.2,28.9,31.4,33.6,34.5,35.0
EnglandRegion,North East,7 December 2020,27,20,0,12,0,0,41,29.6,18.1,27.3,32.0,33.8,35.1
EnglandRegion,North East,14 December 2020,13,7,0,22,2,0,57,25.0,14.7,18.0,26.7,31.9,34.8
EnglandRegion,North East,21 December 2020,11,4,0,52,0,0,33,24.2,14.5,16.2,23.2,33.0,33.8
EnglandRegion,North East,28 December 2020,21,8,0,41,1,0,28,27.6,16.2,19.8,31.7,34.0,34.4
EnglandRegion,North East,4 January 2021,6,3,0,47,0,0,43,25.9,17.6,21.9,26.9,30.6,33.3
EnglandRegion,North East,11 January 2021,11,17,0,50,0,0,23,27.6,17.7,21.0,29.6,33.3,34.3
EnglandRegion,North East,18 January 2021,13,28,0,45,0,0,13,30.5,20.0,29.0,32.2,34.4,35.4
EnglandRegion,North East,25 January 2021,15,10,0,67,0,0,8,28.4,17.5,23.8,31.0,33.3,34.3
EnglandRegion,North East,1 February 2021,22,0,0,66,0,0,13,29.6,18.7,27.7,32.1,33.7,34.4
EnglandRegion,North East,8 February 2021,18,14,0,64,0,0,4,30.4,23.4,27.4,32.2,33.7,34.4
EnglandRegion,North East,15 February 2021,26,6,0,68,0,0,0,28.6,16.9,20.9,32.6,33.7,34.6
EnglandRegion,North East,22 February 2021,14,7,0,79,0,0,0,28.6,22.5,26.4,28.6,31.9,34.3
EnglandRegion,North West,21 September 2020,13,1,0,0,0,0,86,24.3,15.5,18.6,25.6,29.9,31.8
EnglandRegion,North West,28 September 2020,11,2,0,7,1,1,79,22.9,14.2,17.5,22.3,29.1,32.4
EnglandRegion,North West,5 October 2020,4,5,0,6,1,0,83,23.8,16.1,19.1,23.5,29.0,31.9
EnglandRegion,North West,12 October 2020,12,2,0,7,1,3,76,26.1,17.6,21.2,26.9,31.5,33.1
EnglandRegion,North West,19 October 2020,9,3,0,4,1,1,82,25.3,16.7,19.9,26.2,31.0,32.6
EnglandRegion,North West,26 October 2020,9,2,0,5,1,2,81,25.3,16.0,20.1,26.3,30.5,32.8
EnglandRegion,North West,2 November 2020,5,8,0,6,3,1,78,26.1,16.4,20.4,27.9,31.9,33.2
EnglandRegion,North West,9 November 2020,16,3,0,7,1,1,72,27.1,17.0,23.3,28.6,32.2,33.8
EnglandRegion,North West,16 November 2020,14,11,0,6,1,3,67,29.1,19.6,26.7,30.9,33.3,34.4
EnglandRegion,North West,23 November 2020,17,11,0,8,1,1,62,29.6,20.6,26.9,31.6,33.4,34.5
EnglandRegion,North West,30 November 2020,29,11,0,12,1,4,44,31.0,22.5,30.8,33.1,34.2,34.9
EnglandRegion,North West,7 December 2020,24,14,0,17,2,1,42,29.2,17.3,25.7,32.6,34.0,34.9
EnglandRegion,North West,14 December 2020,14,6,0,12,3,1,64,25.5,15.3,18.6,27.0,31.9,34.0
EnglandRegion,North West,21 December 2020,16,9,0,31,4,0,41,27.2,16.2,20.4,30.1,33.0,34.7
EnglandRegion,North West,28 December 2020,13,9,0,40,1,1,35,25.9,15.1,18.5,28.8,33.3,34.4
EnglandRegion,North West,4 January 2021,14,4,0,54,0,1,27,25.3,15.2,19.5,25.7,31.4,33.9
EnglandRegion,North West,11 January 2021,10,19,0,49,1,1,20,28.1,16.9,23.4,30.9,33.5,34.6
EnglandRegion,North West,18 January 2021,11,14,0,60,0,0,15,26.7,16.9,20.6,27.9,32.7,34.4
EnglandRegion,North West,25 January 2021,20,8,0,66,0,0,7,27.5,15.5,21.6,31.0,33.3,34.4
EnglandRegion,North West,1 February 2021,21,7,0,66,1,0,5,28.0,17.7,23.5,30.2,33.3,34.6
EnglandRegion,North West,8 February 2021,26,5,0,61,0,0,8,28.9,18.3,25.8,31.5,33.6,35.0
EnglandRegion,North West,15 February 2021,21,8,0,67,0,0,4,28.6,19.5,25.0,31.0,33.0,34.2
EnglandRegion,North West,22 February 2021,26,2,0,70,0,0,2,27.6,15.5,24.3,31.5,33.0,34.5
EnglandRegion,Yorkshire and The Humber,21 September 2020,15,7,0,0,0,0,78,25.2,16.7,20.6,26.6,29.2,33.1
EnglandRegion,Yorkshire and The Humber,28 September 2020,10,0,0,6,0,0,84,24.1,16.7,19.0,23.2,29.1,31.9
EnglandRegion,Yorkshire and The Humber,5 October 2020,4,5,0,13,1,0,77,24.3,15.5,18.4,25.4,29.8,31.3
EnglandRegion,Yorkshire and The Humber,12 October 2020,12,1,0,7,1,2,77,26.1,15.5,21.3,27.4,31.8,33.3
EnglandRegion,Yorkshire and The Humber,19 October 2020,14,3,0,7,1,0,76,25.5,15.6,19.0,25.9,31.5,33.6
EnglandRegion,Yorkshire and The Humber,26 October 2020,8,4,0,6,3,3,76,25.6,16.7,19.6,26.4,31.2,33.6
EnglandRegion,Yorkshire and The Humber,2 November 2020,7,6,0,11,3,1,73,26.6,17.0,21.3,28.6,32.0,33.8
EnglandRegion,Yorkshire and The Humber,9 November 2020,15,4,0,9,1,2,69,26.8,16.6,21.3,29.3,32.0,33.7
EnglandRegion,Yorkshire and The Humber,16 November 2020,13,7,0,7,3,2,68,28.1,18.4,22.8,31.0,33.2,34.5
EnglandRegion,Yorkshire and The Humber,23 November 2020,18,8,0,8,2,3,61,29.3,20.4,27.1,31.0,33.5,34.6
EnglandRegion,Yorkshire and The Humber,30 November 2020,33,16,0,8,1,1,41,30.8,22.3,28.9,32.7,34.4,35.1
EnglandRegion,Yorkshire and The Humber,7 December 2020,28,16,0,5,2,0,48,29.0,17.1,23.8,32.3,34.0,34.8
EnglandRegion,Yorkshire and The Humber,14 December 2020,14,9,0,20,0,0,57,26.7,17.7,20.8,29.1,32.0,33.7
EnglandRegion,Yorkshire and The Humber,21 December 2020,9,7,0,25,4,2,54,26.0,15.6,19.3,26.2,32.7,34.6
EnglandRegion,Yorkshire and The Humber,28 December 2020,20,9,0,28,1,3,39,28.3,16.8,22.8,30.9,34.0,35.0
EnglandRegion,Yorkshire and The Humber,4 January 2021,15,7,0,33,4,1,40,27.0,17.8,21.8,28.2,32.7,33.7
EnglandRegion,Yorkshire and The Humber,11 January 2021,18,25,0,38,4,0,15,29.3,18.0,27.0,32.3,33.5,34.9
EnglandRegion,Yorkshire and The Humber,18 January 2021,14,20,0,51,0,0,16,29.8,20.1,27.6,32.3,33.7,34.9
EnglandRegion,Yorkshire and The Humber,25 January 2021,19,9,0,57,1,2,12,27.3,16.8,20.5,29.5,33.6,34.7
